date,year_quarter,symbol,keyword,mentioned,count,variants_found
2023-08-03,2023-Q3,AAPL,Creator,True,1,{'Creator': 1}
2023-08-03,2023-Q3,AAPL,iCloud,False,0,{}
2023-08-03,2023-Q3,AAPL,Sleep apnea,False,0,{}
2023-08-03,2023-Q3,AAPL,Hedge,True,4,{'Hedge': 4}
2023-08-03,2023-Q3,AAPL,Regulation / regulator / regulatory,False,0,{}
2023-08-03,2023-Q3,AAPL,WWDC,True,3,{'WWDC': 3}
2023-08-03,2023-Q3,AAPL,Severance,False,0,{}
2023-08-03,2023-Q3,AAPL,Wearable,True,8,{'Wearable': 8}
2023-08-03,2023-Q3,AAPL,Siri,False,0,{}
2023-08-03,2023-Q3,AAPL,Modem,False,0,{}
2023-08-03,2023-Q3,AAPL,Manufacturing,False,0,{}
2023-08-03,2023-Q3,AAPL,Mac,True,20,{'Mac': 20}
2023-08-03,2023-Q3,AAPL,iPad,True,16,{'iPad': 16}
2023-08-03,2023-Q3,AAPL,Formula 1 / F1,False,0,{}
2023-08-03,2023-Q3,AAPL,Vision,True,8,{'Vision': 8}
2023-08-03,2023-Q3,AAPL,Tariff,False,0,{}
2023-08-03,2023-Q3,AAPL,Streaming,False,0,{}
2023-08-03,2023-Q3,AAPL,Service,True,36,{'Service': 36}
2023-08-03,2023-Q3,AAPL,M3,False,0,{}
2023-08-03,2023-Q3,AAPL,iPhone,True,36,{'iPhone': 36}
2023-08-03,2023-Q3,AAPL,Intelligence,False,0,{}
2023-08-03,2023-Q3,AAPL,China,True,11,{'China': 11}
2023-11-02,2023-Q4,AAPL,Creator,False,0,{}
2023-11-02,2023-Q4,AAPL,iCloud,True,6,{'iCloud': 6}
2023-11-02,2023-Q4,AAPL,Sleep apnea,False,0,{}
2023-11-02,2023-Q4,AAPL,Hedge,False,0,{}
2023-11-02,2023-Q4,AAPL,Regulation / regulator / regulatory,False,0,{}
2023-11-02,2023-Q4,AAPL,WWDC,False,0,{}
2023-11-02,2023-Q4,AAPL,Severance,False,0,{}
2023-11-02,2023-Q4,AAPL,Wearable,True,5,{'Wearable': 5}
2023-11-02,2023-Q4,AAPL,Siri,False,0,{}
2023-11-02,2023-Q4,AAPL,Modem,False,0,{}
2023-11-02,2023-Q4,AAPL,Manufacturing,True,3,{'Manufacturing': 3}
2023-11-02,2023-Q4,AAPL,Mac,True,20,{'Mac': 20}
2023-11-02,2023-Q4,AAPL,iPad,True,18,{'iPad': 18}
2023-11-02,2023-Q4,AAPL,Formula 1 / F1,False,0,{}
2023-11-02,2023-Q4,AAPL,Vision,True,8,{'Vision': 8}
